T(K),Eta (Pa*s)
100,8.2E-06
110,9E-06
120,9.7E-06
130,1.05E-05
140,1.13E-05
150,1.21E-05
160,1.29E-05
170,1.37E-05
180,1.44E-05
190,1.52E-05
200,1.59E-05
210,1.67E-05
220,1.74E-05
230,1.81E-05
240,1.88E-05
250,1.95E-05
260,2.02E-05
270,2.08E-05
280,2.15E-05
290,2.21E-05
300,2.28E-05
310,2.34E-05
320,2.4E-05
330,2.47E-05
340,2.53E-05
350,2.59E-05
360,2.65E-05
370,2.7E-05
380,2.76E-05
390,2.82E-05
400,2.88E-05
410,2.93E-05
420,2.99E-05
430,3.04E-05
440,3.1E-05
450,3.15E-05
460,3.2E-05
470,3.26E-05
480,3.31E-05
490,3.36E-05
500,3.41E-05
550,3.66E-05
600,3.9E-05
650,4.13E-05
700,4.36E-05
750,4.57E-05
800,4.79E-05
850,4.99E-05
900,5.19E-05
950,5.39E-05
1000,5.58E-05
