T(K),Eta (Pa*s)
100,9.6E-06
120,1.08E-05
140,1.19E-05
160,1.3E-05
180,1.41E-05
200,1.51E-05
225,1.64E-05
250,1.76E-05
273.15,1.87E-05
275,1.88E-05
300,1.99E-05
325,2.1E-05
350,2.21E-05
375,2.32E-05
400,2.43E-05
450,2.63E-05
500,2.83E-05
600,3.22E-05
700,3.59E-05
800,3.95E-05
900,4.3E-05
1000,4.64E-05
1200,5.29E-05
1400,5.93E-05
1600,6.54E-05
1800,7.14E-05
2000,7.73E-05
2500,9.15E-05
3000,0.0001052
3500,0.0001186
4000,0.0001316
4500,0.0001444
5000,0.0001571
6000,0.0001818
7000,0.0002062
8000,0.0002302
9000,0.0002539
10000,0.0002774
