T(K),Eta (Pa*s)
77,5.40E-06
80,5.60E-06
85,5.90E-06
90,6.30E-06
95,6.60E-06
100,7.00E-06
110,7.60E-06
120,8.30E-06
130,8.90E-06
140,9.50E-06
150,1.01E-05
160,1.07E-05
170,1.13E-05
180,1.18E-05
190,1.24E-05
200,1.29E-05
210,1.34E-05
220,1.40E-05
230,1.45E-05
240,1.50E-05
250,1.55E-05
260,1.59E-05
270,1.64E-05
280,1.69E-05
290,1.73E-05
300,1.78E-05
310,1.82E-05
320,1.87E-05
330,1.91E-05
340,1.96E-05
350,2E-05
360,2.04E-05
370,2.08E-05
380,2.12E-05
390,2.17E-05
400,2.21E-05
410,2.25E-05
420,2.28E-05
430,2.32E-05
440,2.36E-05
450,2.4E-05
460,2.44E-05
470,2.48E-05
480,2.51E-05
490,2.55E-05
500,2.59E-05
550,2.77E-05
600,2.94E-05
650,3.11E-05
700,3.27E-05
750,3.42E-05
800,3.58E-05
850,3.73E-05
900,3.87E-05
950,4.01E-05
1000,4.15E-05
